TARGETID,RA,DEC,Z,SPECTYPE,EBV,EBV_ERR,MAD,SIXMICRON_LUM,L6_Z_MATCH_BIN,144_LUM,EDR?,JName,ra_x,dec_x,yAperMag3,j_1AperMag3,hAperMag3,kAperMag3,yAperMag3Err,j_1AperMag3Err,hAperMag3Err,kAperMag3Err,sourceID,mode,epoch,mergedClass,angDist,RAJ2000,DEJ2000,name,objid,phID,Cat,RAfdeg,DEfdeg,FUVexp,NUVexp,GLON,GLAT,tile,img,sv,r.fov,Obs,b,E(B-V),Sp?,chkf,FUVmag,e_FUVmag,NUVmag,e_NUVmag,FUV.a,e_FUV.a,NUV.a,e_NUV.a,FUV.4,e_FUV.4,NUV.4,e_NUV.4,FUV.6,e_FUV.6,NUV.6,e_NUV.6,Fafl,Nafl,Fexf,Nexf,Fflux,e_Fflux,Nflux,e_Nflux,FXpos,FYpos,NXpos,NYpos,Fima,Nima,Fr,Nr,nS/G,fS/G,nell,fell,nPA,e_nPA,fPA,e_fPA,Fnr,F3r,Nar,Narms,Nbrms,Far,Farms,Fbrms,w_NUV,w_FUV,Prob,Sep,Nerr,Ferr,Ierr,Nperr,Fperr,CV,G,N,primid,groupid,Gd,Nd,primidd,groupidd,grouptot,OName,Size,angDist_x,objID_x,RAJ2000_x,DEJ2000_x,errHalfMaj,errHalfMin,errPosAng,cell,sky,f_objID,Qual,e_RAJ2000,e_DEJ2000,Epoch_x,Ns,Nd_x,Ng,Nr_x,Ni,Nz,Ny,gPSFf,gmag,e_gmag,gmagStd,o_gmag,b_gmag_x,B_gmag_xa,gKmag,e_gKmag,gFlags,rPSFf,rmag,e_rmag,rmagStd,o_rmag,b_rmag_x,B_rmag_xa,rKmag,e_rKmag,rFlags,iPSFf,imag,e_imag,imagStd,o_imag,b_imag_x,B_imag_xa,iKmag,e_iKmag,iFlags,zPSFf,zmag,e_zmag,zmagStd,o_zmag,b_zmag_x,B_zmag_xa,zKmag,e_zKmag,zFlags,yPSFf,ymag,e_ymag,ymagStd,o_ymag,b_ymag_x,B_ymag_xa,yKmag,e_yKmag,yFlags,angDist_xa,JNAME_x,ra_xa,dec_xa,errHalfMaj_x,errHalfMin_x,errPosAng_x,W1mag,W2mag,W3mag,W4mag,Jmag,Hmag,Kmag,e_W1mag,e_W2mag,e_W3mag,e_W4mag,e_Jmag,e_Hmag,e_Kmag,cntr,cc_flags,ext_flg,var_flg,ph_qual,r_2mass,angDist_xb
39628334983807806,193.62108543419544,23.309064845645473,2.0586383189046766,QSO,-0.08511702526722292,0.0,2.764381705769522E-5,45.66698968018404,,0.0,true,J125429.08+231832.8,193.621178,23.309129,18.369,18.146,17.593,16.984,0.043,0.05,0.074,0.067,433802488309,1,2010.1462,1,0.383173,193.620997,23.309107,GALEX J125429.0+231832,6378621143715154059,6378621143712006144,AIS,193.978794,23.45167,198.0,310.0,313.3239,86.1192,50219,321,10,0.358026,true,3,0.0262,0,0,22.2194,0.4635,21.6611,0.2099,3.3993,0.4635,1.5811,0.2099,3.7984,0.5878,1.6115,0.1851,3.3331,0.5518,1.804,0.3405,0,0,0,0,4.70176,2.00664,7.86264,1.51961,2717.37,1592.57,2715.25,1592.13,3.401,5.541,0.001,0.002,0.9833,0.7684,0.3365,0.1361,-24.03,-24.61,15.9,15.79,9.5686,5.09105,3.5,8.17E-4,5.43E-4,6.75031,3.93E-4,3.39E-4,259.6,185.1,0.0518,3.05,0.72,1.46,1.26,0.3,0.27,C,0,1,6378621143715153920,6378621143715154059,0,1,6378621143715153920,6378621143715154059,6378621143715154059,N,0.0,0.328415,135971936211171486,193.62109112351,23.3090710685,0.002,0.002,90.0,1809,83,436527256,52,0.00230289041,0.0022644977,56248.720837399,5,54,8,6,12,9,19,0.999549,19.0525,0.0418,0.1796,5,18.7716,19.2152,19.1936,0.0331,115000,0.999825,18.9333,0.0457,0.1342,5,18.771,19.0752,19.0468,0.0329,115000,0.999373,18.892,0.0399,0.1639,10,18.7536,19.1899,18.9991,0.0399,115000,0.999377,18.7657,0.0332,0.1236,7,18.6203,18.9688,18.8302,0.0406,115000,0.999519,18.8483,0.043,0.1705,18,18.6816,19.3233,18.9455,0.0497,115000,0.029252,J125429.08+231832.7,193.621188,23.309105,0.13,0.121,82.0,15.948,14.69,11.703,9.059,,,,0.052,0.064,0.187,0.419,,,,1938122701241039238,0000,0,02nn,AABC,,0.370411
39628334988002132,193.88725919261717,23.265867272549954,1.2346399714836356,QSO,-0.009151808460317434,0.0,2.6914878644444345E-5,44.90729047668984,,0.0,true,J125532.95+231557.2,193.887307,23.265898,19.923,19.992,,18.48,0.171,0.366,,0.263,433802519825,1,2010.1462,-1,0.19275,193.887373,23.266121,GALEX J125532.9+231558,6378621143713056631,6378621143712006144,AIS,193.978794,23.45167,198.0,310.0,316.696,86.0275,50219,321,10,0.203648,true,1,0.0239,0,0,,,21.9878,0.2563,,,1.9078,0.2563,,,2.0345,0.2525,,,2.3985,0.5812,0,0,0,2,,,5.81938,1.37335,,,2128.19,1488.04,,5.086,,0.002,0.9712,0.0,0.1193,,7.28,18.32,,,8.85646,5.25609,3.5,6.57E-4,5.79E-4,,,,247.1,198.9,,,0.85,,,0.37,,C,0,1,6378621143713056768,6378621143713056631,0,1,6378621143713056768,6378621143713056631,6378621143713056631,N,0.0,0.987373,135911938871619711,193.88725588855,23.26586907092,0.005,0.005,0.0,1809,82,436527248,52,0.00535231012,0.00537158036,56064.929170047,5,50,10,8,16,12,4,0.999555,20.7334,0.0504,0.1712,10,20.4467,21.0169,20.818,0.0935,115000,0.999823,20.3699,0.0296,0.2355,8,20.2702,20.9217,20.467,0.0483,115000,0.999296,20.3293,0.0334,0.1621,13,20.23,20.6695,20.484,0.0539,115000,0.998996,20.5282,0.039,0.127,12,20.306,20.7061,20.6108,0.0625,115000,0.998754,20.2901,0.1265,0.2794,3,20.248,20.681,20.4844,0.2316,115000,0.012701,J125532.95+231557.1,193.887333,23.265875,0.463,0.421,75.0,16.793,15.334,11.982,8.688,,,,0.093,0.102,0.247,,,,,1938122701241037912,0000,0,10nn,AABU,,0.245209
39628334988002590,193.91511828811537,23.164493637428688,1.8596386512756733,QSO,-0.029232845270649177,0.0032842659201623298,2.6971086446764206E-5,45.40608683230062,,0.0,true,J125539.64+230952.3,193.915186,23.164544,19.186,18.731,18.301,18.002,0.089,0.087,0.137,0.172,433802751005,1,2010.1462,-2,0.28805,193.9153,23.164748,GALEX J125539.6+230953,6378621143715153191,6378621143712006144,AIS,193.978794,23.45167,198.0,310.0,316.7188,85.9229,50219,321,10,0.292787,true,3,0.0237,0,0,21.8543,0.3521,21.6261,0.2548,3.0343,0.3521,1.5461,0.2548,3.2539,0.4309,1.698,0.2076,2.933,0.4107,1.524,0.2851,0,256,0,0,6.58079,2.13339,8.12016,1.90519,2067.58,1245.65,2066.72,1244.71,8.062,7.388,0.003,0.003,0.9827,0.9992,0.2604,0.5686,-26.31,-26.83,29.09,29.07,9.2548,4.08294,4.78438,7.49E-4,5.54E-4,3.5,8.55E-4,3.69E-4,234.5,180.4,0.372,1.76,0.73,1.46,1.27,0.31,0.27,C,0,1,6378621143715152896,6378621143715153191,0,1,6378621143715152896,6378621143715153191,6378621143715153191,N,0.0,1.097615,135791939151857972,193.91511526759,23.16448866895,0.004,0.004,90.0,1809,72,436527256,52,0.00424139337,0.00423944047,56110.900605655,5,48,10,9,6,12,11,0.999714,19.7896,0.0172,0.0492,7,19.7333,19.8532,19.909,0.038,115000,0.999499,19.8266,0.0229,0.0928,8,19.7619,20.0409,19.9051,0.0318,115000,0.999836,19.7245,0.0102,0.0389,6,19.6662,19.7713,19.745,0.0561,115000,0.999454,19.6521,0.0356,0.1415,12,19.514,19.8943,19.7216,0.0297,115000,0.998853,19.5588,0.0244,0.0702,8,19.4766,19.6744,19.6742,0.0684,115000,0.020491,J125539.62+230951.9,193.915099,23.164437,0.381,0.343,78.0,16.621,14.922,11.792,8.911,,,,0.088,0.074,0.224,0.409,,,,1938122701241028847,0000,0,00nn,AABC,,0.214377
39628334996392438,194.52875483237966,23.303107621737016,1.149483051571247,QSO,-0.05219840834511813,0.003300597547332379,1.9252929976334955E-5,45.16631461821946,,0.0,true,J125806.89+231811.2,194.528747,23.303124,18.464,18.469,17.946,16.99,0.045,0.066,0.099,0.066,433802490763,1,2010.1462,-2,0.064128,194.52887,23.303493,GALEX J125806.9+231812,6378621143715154102,6378621143712006144,AIS,193.978794,23.45167,198.0,310.0,324.8426,85.888,50219,321,10,0.526213,true,3,0.0218,0,0,20.9535,0.272,19.6458,0.0674,2.1335,0.272,-0.4342,0.0674,2.1197,0.2686,-0.1865,0.0661,2.0998,0.2982,-0.3738,0.0683,0,17,0,0,15.0868,3.77894,50.3111,3.12149,714.55,1579.67,714.1,1579.95,2.243,9.469,0.001,0.004,0.8748,0.9824,0.1843,0.0795,-21.38,-18.55,55.58,55.73,13.8032,4.04596,3.5,0.001287,0.001049,3.5,5.92E-4,5.44E-4,264.7,120.8,0.672,0.65,0.58,0.85,0.76,0.19,0.12,C,1,2,6378621143715153920,6378621143715154102+6378621152305088916,1,2,6378621143715153920,6378621143715154102+6378621152305088916,6378621143715154102+6378621152305088916,N,0.0,1.439473,135961945287774282,194.528753709,23.30310842503,0.002,0.002,0.0,1809,81,436527256,52,0.00206469349,0.00211175994,56081.229446243,5,51,9,8,12,9,13,0.999789,19.2217,0.0188,0.0759,8,19.1901,19.373,19.3526,0.0223,115000,0.99982,19.0618,0.0112,0.0647,7,19.0247,19.1794,19.1333,0.0102,115000,0.998735,19.087,0.0118,0.0409,12,19.0382,19.1664,19.1864,0.0121,115000,0.999468,19.1554,0.0243,0.1244,8,19.0781,19.4235,19.2193,0.034,115000,0.999265,19.0209,0.0284,0.0913,10,18.9276,19.1765,19.1072,0.0511,115000,0.004707,J125806.91+231811.4,194.528793,23.303172,0.177,0.165,73.0,15.47,14.091,10.887,8.598,,,,0.042,0.041,0.088,0.281,,,,1938122701241034099,0000,0,012n,AAAB,,0.265153
39628334996392814,194.54988830396155,23.369379355389125,1.4400874415097438,QSO,0.048476573338475326,0.01932613886199363,4.946008666617961E-5,45.12710926147921,,0.0,true,J125811.97+232209.7,194.549897,23.369369,,19.403,18.883,18.255,,0.181,0.241,0.209,433802516074,2,2010.1462,1,0.046895,194.549687,23.369502,GALEX J125811.9+232210,6378621143713057278,6378621143712006144,AIS,193.978794,23.45167,198.0,310.0,325.4317,85.9424,50219,321,10,0.530302,true,1,0.021,0,0,,,22.3454,0.4077,,,2.2654,0.4077,,,2.5499,0.3466,,,2.5109,0.6051,0,1,0,0,,,4.18656,1.57164,,,668.83,1738.55,,6.509,,0.003,0.9667,0.0,0.2388,,26.35,24.98,,,7.56639,2.69597,5.66183,6.04E-4,4.6E-4,,,,268.6,116.8,,,1.07,,,0.47,,C,1,2,6378621143713056768,6378621143713057278+6378621152302992134,1,2,6378621143713056768,6378621143713057278+6378621152302992134,6378621143713057278+6378621152302992134,N,0.0,0.798448,136041945499193831,194.5498886776,23.36938335261,0.009,0.009,90.0,1809,81,436527232,52,0.00852924508,0.00852924508,56108.372721169,5,41,8,8,14,8,3,0.999591,21.2898,0.0514,0.1482,8,21.1332,21.5687,21.4372,0.0788,115000,0.999038,21.0511,0.0199,0.1465,8,20.7151,21.2081,21.2479,0.0429,115000,0.998896,20.8484,0.0238,0.1006,12,20.6792,21.0467,21.0374,0.04,115000,0.999574,20.6861,0.0364,0.0842,8,20.5623,20.836,20.6169,0.0866,115000,0.999159,20.2964,0.103,0.2082,3,20.0173,20.3663,20.2857,0.0268,115000,0.014443,J125811.96+232209.9,194.54987,23.36943,0.81,0.716,66.0,17.619,16.093,11.724,9.384,,,,0.19,0.181,0.179,,,,,1938122701241034627,0000,0,nn1n,BBBU,,0.190995
39628335004779471,194.98283006340378,23.3051196880332,2.1284176137370796,QSO,-0.019316122511759626,0.008744475759342505,3.981086355141588E-5,46.385124932783164,,0.0,true,J125955.89+231818.5,194.982912,23.305152,17.256,17.056,16.513,15.768,0.018,0.02,0.029,0.024,433802519074,1,2010.1462,-1,0.2951,194.982886,23.305301,GALEX J125955.8+231819,6378621152302991786,6378621152301940736,AIS,195.03617,23.341144,193.05,193.05,330.0729,85.7217,50219,577,18,0.060654,true,1,0.0221,0,0,,,19.8907,0.0937,,,-0.1893,0.0937,,,-0.1053,0.0916,,,-0.1812,0.1021,256,256,0,2,,,40.1524,3.4635,,,2022.9,1818.76,,4.048,,0.002,0.9834,0.0,0.1623,,-36.38,-39.18,,,11.7109,5.10145,3.5,8.9E-4,7.45E-4,,,,148.3,187.8,,,0.54,,,0.14,,C,0,1,6378621152302991360,6378621152302991786,0,1,6378621152302991360,6378621152302991786,6378621152302991786,N,0.0,0.677018,135961949828746719,194.98283180075,23.3051188875,0.001,0.001,0.0,1809,80,503636112,60,0.00111449339,0.00114920361,56142.50325951,10,60,11,10,10,13,16,0.999524,18.1958,0.0074,0.0235,10,18.1739,18.2419,18.2816,0.0042,115000,0.999455,18.0846,0.0038,0.0119,8,18.0706,18.109,18.1636,0.0206,115000,0.999487,17.9966,0.0023,0.0753,9,17.9771,18.2075,18.0679,0.0076,115000,0.999626,17.8571,0.0059,0.0202,11,17.8075,17.8779,17.952,0.0061,115000,0.999647,17.8461,0.014,0.0587,14,17.7008,17.9536,17.9367,0.016,115000,0.006427,J125955.88+231818.5,194.982871,23.305149,0.163,0.154,83.0,15.149,13.912,10.312,7.983,16.834,16.403,15.456,0.039,0.042,0.062,0.166,0.154,0.2,0.162,1954122701241035466,0000,0,111n,AAAB,0.173,0.169906
39628335008974832,195.32741252727186,23.341887859514447,1.4807939853264676,QSO,-0.010125722997580133,0.00941596446441314,4.439995088902071E-5,45.157918196752256,,0.0,true,J130118.57+232030.8,195.327398,23.341914,18.919,18.472,17.894,17.667,0.058,0.059,0.058,0.09,433802503609,1,2010.1575,-1,0.105741,195.327706,23.34208,GALEX J130118.6+232031,6378621152302992004,6378621152301940736,AIS,195.03617,23.341144,193.05,193.05,333.996,85.6048,50219,577,18,0.267678,true,1,0.0231,0,0,,,20.5047,0.1317,,,0.4247,0.1317,,,0.6136,0.1306,,,0.4528,0.1503,0,0,0,0,,,22.8092,2.76622,,,1263.03,1907.69,,7.628,,0.003,0.9813,0.0,0.0504,,26.55,30.08,,,12.0261,5.32902,3.5,8.58E-4,8.15E-4,,,,155.7,184.8,,,0.63,,,0.23,,C,0,1,6378621152302992384,6378621152302992004,0,1,6378621152302992384,6378621152302992004,6378621152302992004,N,0.0,1.19214,136011953273670777,195.32741227792,23.34188646792,0.003,0.003,0.0,1810,89,436527256,52,0.00269068573,0.00270985524,56093.645841005,5,60,11,12,16,10,11,0.999864,20.0002,0.0259,0.0922,9,19.9502,20.1856,20.1173,0.0468,115000,0.998888,19.7674,0.0109,0.0418,10,19.696,19.8176,19.8608,0.0168,115000,0.999647,19.5599,0.0151,0.0664,12,19.4248,19.6472,19.6454,0.0269,115000,0.999681,19.4614,0.0331,0.1122,8,19.3693,19.6943,19.553,0.0549,115000,0.999264,19.4907,0.0455,0.1183,10,19.33,19.7151,19.4904,0.0719,115000,0.005077,J130118.55+232031.5,195.327332,23.342084,0.451,0.411,71.0,16.437,15.087,11.742,8.55,,,,0.09,0.101,0.232,,,,,1954122701241034164,0000,0,11nn,AABU,,0.755433
39628335008975879,195.397942526,23.20416541500888,0.8771794154178454,QSO,0.0521951688169231,0.003023920853773242,1.4799700646914703E-5,44.83177099906508,,0.0,true,J130135.51+231215.1,195.397962,23.204215,18.93,18.257,18.069,17.201,0.059,0.048,0.068,0.059,433802503424,2,2010.1575,-1,0.190053,195.398161,23.204104,GALEX J130135.5+231214,6378621152305088371,6378621152301940736,AIS,195.03617,23.341144,193.05,193.05,333.8329,85.453,50219,577,18,0.359668,true,3,0.0214,0,0,20.8978,0.2128,20.3259,0.117,2.0778,0.2128,0.2459,0.117,2.1486,0.2185,0.368,0.1144,2.1971,0.2462,0.1946,0.1264,256,0,0,0,15.8807,3.11167,26.894,2.89727,1106.88,1577.16,1106.93,1576.9,3.819,5.006,0.002,0.002,0.9836,0.9834,0.0635,0.115,28.32,28.26,-5.93,-5.77,4.1997,2.37279,3.5,8.36E-4,7.83E-4,3.5,6.77E-4,5.99E-4,155.9,156.0,0.751,0.6,0.58,0.87,0.77,0.18,0.12,C,0,1,6378621152305088512,6378621152305088371,0,1,6378621152305088512,6378621152305088371,6378621152305088371,N,0.0,0.756081,135841953980655602,195.39794624657,23.20416366776,0.004,0.004,0.0,1810,88,436527256,52,0.00379157874,0.00384076019,56304.977658262,20,37,7,4,7,7,12,0.999132,19.728,0.0208,0.1098,6,19.5539,19.8021,19.8092,0.0773,115000,0.999476,19.4956,0.0296,0.0838,4,19.3765,19.541,19.5863,0.0512,115000,0.99954,19.4924,0.0236,0.096,6,19.3014,19.5151,19.5482,0.0366,115000,0.999455,19.2923,0.0271,0.1681,7,19.2407,19.6405,19.3261,0.0608,115000,0.999785,19.3607,0.0279,0.1002,11,19.1794,19.5183,19.4436,0.0471,115000,0.013824,J130135.49+231215.2,195.397914,23.204226,0.272,0.248,85.0,15.644,14.407,11.405,8.724,,,,0.055,0.067,0.172,0.373,,,,1954122701241033980,0000,0,11nn,AABC,,0.237964
39628335013167548,195.49928540843806,23.320650824237422,1.3926768885377308,QSO,0.05360052863701692,0.0,1.4081957331294002E-5,45.42611933738192,,0.0,true,J130159.85+231914.5,195.499388,23.32071,17.117,16.836,16.282,16.193,0.014,0.015,0.015,0.024,433802516829,1,2010.1575,-1,0.400347,195.499537,23.32063,GALEX J130159.8+231914,6378621152305089030,6378621152301940736,AIS,195.03617,23.341144,193.05,193.05,335.6036,85.5057,50219,577,18,0.425973,true,3,0.0214,0,0,20.5554,0.1695,19.2476,0.0629,1.7354,0.1695,-0.8324,0.0629,1.8125,0.1797,-0.7433,0.0637,1.7387,0.1842,-0.813,0.0671,0,0,0,0,21.7694,3.39698,72.6049,4.20355,884.96,1856.97,884.21,1857.21,7.251,4.166,0.003,0.002,0.9849,0.9854,0.1289,0.0641,-31.8,-23.26,41.0,41.12,8.00971,3.2788,3.5,8.93E-4,7.78E-4,3.5,7.36E-4,6.89E-4,160.3,177.9,0.403,0.87,0.49,0.83,0.67,0.09,0.11,C,1,2,6378621152305089536,6378621152305089030+6378621161968765396,1,2,6378621152305089536,6378621152305089030+6378621161968765396,6378621152305089030+6378621161968765396,N,0.0,0.836609,135981954993405349,195.49928587717,23.32065196098,0.001,0.001,90.0,1810,88,503636112,60,8.7980835E-4,8.791736E-4,56183.442938023,5,71,12,13,12,14,20,0.999876,18.0639,0.0051,0.0282,7,18.0008,18.0816,18.148,0.0082,115000,0.999646,17.7032,0.0089,0.0265,10,17.6641,17.7494,17.786,0.0101,115000,0.999096,17.625,0.006,0.1612,9,17.6065,18.0117,17.7167,0.0099,115000,0.999635,17.6791,0.0082,0.0283,14,17.6324,17.7258,17.7689,0.0119,115000,0.999816,17.7026,0.0113,0.0743,19,17.6493,17.8881,17.8075,0.0234,115000,0.004376,J130159.83+231914.5,195.499298,23.3207,0.234,0.215,72.0,15.513,14.38,11.333,8.298,16.768,16.066,15.822,0.049,0.059,0.148,0.224,0.145,0.151,,1954122701241033968,0000,0,00nn,AABB,0.068,0.181332
39628335013167998,195.52073169147482,23.33600978782331,0.8630201384490424,QSO,0.01641387933794336,0.0,1.8584719047257703E-5,45.5050122507598,,0.0,true,J130204.99+232009.8,195.520824,23.336058,17.611,16.874,16.648,15.851,0.02,0.015,0.02,0.018,433802516771,1,2010.1575,1,0.350946,195.520997,23.335881,GALEX J130205.0+232009,6378621152305089114,6378621152301940736,AIS,195.03617,23.341144,193.05,193.05,335.9199,85.5083,50219,577,18,0.445189,true,3,0.0214,0,0,19.7271,0.1133,18.9284,0.0535,0.9071,0.1133,-1.1516,0.0535,0.9291,0.1143,-1.0725,0.0545,0.9283,0.1183,-1.1477,0.0557,0,0,0,0,46.6848,4.87197,97.4139,4.79919,837.58,1893.99,837.03,1893.98,5.353,3.896,0.002,0.002,0.9834,0.9835,0.0716,0.2229,-78.21,-72.17,-3.87,-3.69,5.30057,2.91767,3.5,8.68E-4,8.06E-4,3.5,8.56E-4,6.65E-4,161.7,178.1,0.537,0.53,0.48,0.67,0.51,0.07,0.06,C,1,2,6378621152305089536,6378621152305089114+6378621161968765426,1,2,6378621152305089536,6378621152305089114+6378621161968765426,6378621152305089114+6378621161968765426,N,0.0,0.992487,136001955207893796,195.52073121776,23.33601044297,0.001,0.001,90.0,1810,88,436527256,52,0.00101372095,0.00101162539,56094.973722698,5,69,13,14,12,12,18,0.999794,18.3044,0.0241,0.0868,8,18.1932,18.4408,18.3705,0.0202,115000,0.999109,18.3229,0.0155,0.0356,7,18.2551,18.3546,18.3143,0.0382,115000,0.999404,18.2193,0.0176,0.1231,10,18.1556,18.5607,18.2653,0.0185,115000,0.999405,18.1049,0.023,0.07,9,18.0158,18.2112,18.1859,0.0096,115000,0.999538,18.1013,0.0177,0.1001,18,17.9214,18.2289,18.1078,0.0221,115000,0.002831,J130204.98+232009.6,195.520762,23.336004,0.106,0.1,74.0,14.122,12.83,9.747,7.021,,,,0.029,0.029,0.04,0.078,,,,1954122701241033881,0000,0,1100,AAAA,,0.101801
39628335013169275,195.5878976406021,23.265495124171284,0.8636130719996445,QSO,0.09516380703783289,0.008978475940321515,2.736641773260708E-5,44.702636750237055,2,0.0,true,J130221.11+231556.0,195.587978,23.265564,20.43,19.213,18.941,17.978,0.227,0.116,0.149,0.118,433802516586,1,2010.1575,1,0.363114,195.588103,23.265294,GALEX J130221.1+231555,6378621152302991549,6378621152301940736,AIS,195.03617,23.341144,193.05,193.05,336.1091,85.4158,50219,577,18,0.512551,true,1,0.0206,0,0,,,21.0639,0.1823,,,0.9839,0.1823,,,0.9762,0.1627,,,1.0794,0.2451,0,256,0,0,,,13.6285,2.28746,,,688.49,1725.1,,6.005,,0.003,0.9718,0.0,0.2033,,-83.96,-84.38,,,10.1769,4.8193,3.5,7.93E-4,6.32E-4,,,,148.3,160.7,,,0.64,,,0.24,,C,1,2,6378621152302991360,6378621152302991549+6378621161968765165,1,2,6378621152302991360,6378621152302991549+6378621161968765165,6378621152302991549+6378621161968765165,N,0.0,0.992717,135911955880649375,195.58790514461,23.26549886643,0.006,0.006,90.0,1810,88,436527248,52,0.00568981233,0.00568981233,56217.19923641,5,62,12,14,16,12,8,0.999682,20.6504,0.0678,0.1859,10,20.4731,21.026,20.7488,0.1092,115000,0.999537,20.705,0.0876,0.2623,12,20.5119,21.1649,20.6252,0.1334,115000,0.999807,20.5868,0.0384,0.1073,12,20.4136,20.7153,20.3171,0.0755,16892216,0.999661,20.3601,0.0412,0.1259,11,20.2348,20.6326,20.1941,0.0941,16892216,0.999794,19.9928,0.0834,0.2466,8,19.5637,20.2965,19.7587,0.1314,115000,0.028239,J130221.07+231555.6,195.587831,23.265449,0.346,0.313,71.0,15.896,15.196,12.304,8.945,,,,0.062,0.103,0.346,0.412,,,,1954122701241034039,0000,0,04nn,AABC,,0.275421
39628335017365278,195.9805706307052,23.368169315145312,1.0360227339858716,QSO,0.025253334237532732,0.003855871936157145,1.537837376885175E-5,44.672335300787864,,0.0,true,J130355.35+232205.2,195.98066,23.368124,19.156,18.784,18.196,17.36,0.074,0.082,0.077,0.07,433802549558,1,2010.1575,-2,0.337274,195.980745,23.368302,GALEX J130355.3+232205,6378621161968765621,6378621161965617152,AIS,196.068871,23.242356,122.1,122.1,340.5116,85.2987,50219,865,27,0.14971,true,3,0.0182,0,0,21.1478,0.3037,20.3119,0.1486,2.3279,0.3037,0.2319,0.1486,2.3417,0.3076,0.2781,0.1413,2.5553,0.3867,0.3038,0.1879,0,0,0,0,12.6143,3.52721,27.2433,3.72739,2138.19,2225.85,2138.91,2226.03,4.145,4.098,0.002,0.002,0.9836,0.9792,0.118,0.1882,-87.54,-87.61,-77.2,-77.23,5.82586,2.40164,3.5,7.56E-4,6.67E-4,3.5,6.47E-4,5.25E-4,93.4,113.0,0.38,1.3,0.58,1.08,0.91,0.18,0.16,C,0,1,6378621161968765952,6378621161968765621,0,1,6378621161968765952,6378621161968765621,6378621161968765621,N,0.0,0.749055,136041959806642332,195.98056496105,23.36816658547,0.004,0.004,0.0,1810,87,436527248,52,0.00379129275,0.0037928589,56046.608318659,5,58,12,8,10,12,16,0.999722,20.2857,0.0386,0.1131,12,20.0456,20.4008,20.4201,0.0421,115000,0.999339,20.0085,0.0252,0.0681,8,19.8851,20.0548,20.0117,0.0207,115000,0.998688,19.9659,0.0162,0.0482,10,19.9108,20.0576,20.0343,0.0329,115000,0.99968,19.9501,0.0327,0.2189,12,19.3565,20.2721,19.9429,0.0609,115000,0.999477,19.6671,0.0592,0.2459,16,19.1733,20.0837,19.6391,0.128,115000,0.021157,J130355.34+232205.3,195.980623,23.36814,0.325,0.296,70.0,15.992,14.785,12.217,9.211,,,,0.066,0.076,0.307,,,,,1954122701241032400,0000,0,01nn,AABU,,0.202544
39628340532872380,193.42433006962054,23.511347625670005,1.0171824246483503,QSO,-0.007681578830294633,0.005821600522662884,1.8997992427936957E-5,44.86452794088959,1,0.0,true,J125341.85+233040.9,193.424384,23.511371,19.018,18.449,18.087,17.085,0.082,0.076,0.121,0.082,433802315752,1,2010.1462,1,0.197291,193.424524,23.511505,GALEX J125341.8+233041,6378621138346445693,6378621138343297024,AIS,192.933773,23.540776,254.0,334.0,311.0947,86.3474,50219,161,5,0.45091,true,3,0.0222,0,0,21.6537,0.2891,20.5339,0.1022,2.8337,0.2891,0.4539,0.1022,2.8027,0.2882,0.5158,0.0916,2.7417,0.3274,0.4202,0.1134,0,0,0,0,7.91654,2.10732,22.2045,2.08891,846.4,1859.85,845.81,1859.82,5.764,6.396,0.002,0.003,0.9816,0.9814,0.0472,0.2863,-26.76,-14.45,-36.66,-36.56,6.37665,2.55523,3.5,8.36E-4,7.97E-4,3.5,7.05E-4,5.03E-4,288.6,208.3,0.706,0.76,0.56,1.13,0.95,0.17,0.19,C,1,2,6378621138346445824,6378621138346445693+6378621143715155338,1,2,6378621138346445824,6378621138346445693+6378621143715155338,6378621138346445693+6378621143715155338,N,0.0,0.855574,136211934243264254,193.42433184277,23.51134989088,0.004,0.004,90.0,1809,83,436527256,52,0.00382145096,0.00378208911,56151.017091363,5,56,10,8,12,10,16,0.999918,20.0253,0.0343,0.1121,9,19.8117,20.1282,20.0378,0.0186,115000,0.999825,19.7318,0.0171,0.0619,8,19.6168,19.7793,19.8079,0.029,115000,0.99958,19.79,0.0285,0.0956,11,19.5607,19.8928,19.8187,0.0299,115000,0.999671,19.7963,0.0265,0.0669,10,19.7257,19.9318,19.8422,0.0463,115000,0.99929,19.5125,0.0468,0.2003,15,19.0577,19.808,19.4849,0.0678,115000,0.010038,J125341.84+233041.1,193.424375,23.511434,0.242,0.22,69.0,15.851,14.58,11.82,8.989,,,,0.051,0.057,0.202,,,,,1932124201241001742,0000,0,22nn,AABU,,0.34412
